Cliente,TiempoLLave,TiempoActualizacionCliente1,958,213
Cliente1,1087,217
Cliente1,1061,224
Cliente1,1063,226
Cliente1,1053,255
Cliente1,1087,256
Cliente1,1072,258
Cliente1,1073,263
Cliente1,8,202
Cliente1,14,226
Cliente1,14,258
Cliente1,15,293
Cliente1,13,212
Cliente1,12,206
Cliente1,12,201
Cliente1,14,214
Cliente1,17,272
Cliente1,14,228
Cliente1,13,219
Cliente1,15,275
Cliente1,12,204
Cliente1,12,273
Cliente1,16,296
Cliente1,11,292
Cliente1,6,232
Cliente1,8,242
Cliente1,11,302
Cliente1,15,211
Cliente1,11,206
Cliente1,11,216
Cliente1,11,203
Cliente1,10,217
Cliente1,13,219
Cliente1,13,303
Cliente1,13,227
Cliente1,13,219
Cliente1,6,284
Cliente1,6,287
Cliente1,16,277
Cliente1,14,209
Cliente1,13,214
Cliente1,14,198
Cliente1,13,206
Cliente1,21,211
Cliente1,11,201
Cliente1,14,224
Cliente1,14,217
Cliente1,17,294
Cliente1,15,242
Cliente1,13,214
Cliente1,13,215
Cliente1,13,301
Cliente1,13,251
Cliente1,14,289
Cliente1,13,246
Cliente1,15,213
Cliente1,13,220
Cliente1,11,209
Cliente1,10,216
Cliente1,9,244
Cliente1,8,261
Cliente1,8,227
Cliente1,13,204
Cliente1,43,205
Cliente1,9,275
Cliente1,10,255
Cliente1,11,274
Cliente1,20,203
Cliente1,14,204
Cliente1,13,300
Cliente1,6,218
Cliente1,8,211
Cliente1,6,208
Cliente1,6,272
Cliente1,18,297
Cliente1,18,215
Cliente1,11,219
Cliente1,6,235
Cliente1,6,222
Cliente1,17,224
Cliente1,6,210
Cliente1,6,210
Cliente1,16,208
Cliente1,7,297
Cliente1,13,247
Cliente1,12,277
Cliente1,14,204
Cliente1,13,212
Cliente1,18,210
Cliente1,13,212
Cliente1,16,215
Cliente1,13,216
Cliente1,15,208
Cliente1,6,205
Cliente1,6,225
Cliente1,12,209
Cliente1,12,210
Cliente1,12,206
Cliente1,12,219
Cliente1,11,244
Cliente1,10,202
Cliente1,12,290
Cliente1,12,207
Cliente1,13,210
Cliente1,16,216
Cliente1,12,207
Cliente1,13,218
Cliente1,12,212
Cliente1,12,216
Cliente1,13,214
Cliente1,6,221
Cliente1,13,209
Cliente1,18,220
Cliente1,13,222
Cliente1,12,213
Cliente1,12,209
Cliente1,12,215
Cliente1,6,218
Cliente1,16,214
