Cliente,TiempoLLave,TiempoActualizacion
Cliente1,6,277
Cliente1,262,290
Cliente1,15,251
Cliente1,12,219
Cliente1,17,205
Cliente1,13,235
Cliente1,6,236
Cliente1,6,233
Cliente1,18,221
Cliente1,15,214
Cliente1,13,215
Cliente1,14,216
Cliente1,6,225
Cliente1,14,297
Cliente1,15,213
Cliente1,14,204
Cliente1,14,280
Cliente1,13,214
Cliente1,7,218
Cliente1,13,275
Cliente1,13,323
Cliente1,13,258
Cliente1,11,219
Cliente1,11,221
Cliente1,6,296
Cliente1,5,216
Cliente1,14,215
Cliente1,13,211
Cliente1,16,219
Cliente1,15,231
Cliente1,14,211
Cliente1,15,216
Cliente1,12,209
Cliente1,14,269
Cliente1,11,213
Cliente1,6,213
Cliente1,5,211
Cliente1,6,272
Cliente1,6,299
Cliente1,6,282
Cliente1,6,244
Cliente1,15,282
Cliente1,27,211
Cliente1,6,276
Cliente1,15,209
Cliente1,12,209
Cliente1,17,292
Cliente1,17,235
Cliente1,5,213
Cliente1,6,207
Cliente1,5,209
Cliente1,7,305
Cliente1,12,213
Cliente1,12,209
Cliente1,13,208
Cliente1,14,208
Cliente1,12,203
Cliente1,11,203
Cliente1,10,203
Cliente1,12,231
Cliente1,14,211
Cliente1,10,213
Cliente1,10,219
Cliente1,16,205
Cliente1,15,214
Cliente1,13,207
Cliente1,12,218
Cliente1,6,217
Cliente1,6,209
Cliente1,5,207
Cliente1,6,299
Cliente1,12,301
Cliente1,12,213
Cliente1,18,209
Cliente1,13,215
Cliente1,15,207
Cliente1,10,209
Cliente1,14,213
Cliente1,19,214
Cliente1,13,211
Cliente1,16,212
Cliente1,14,220
Cliente1,16,216
Cliente1,14,202
Cliente1,19,203
Cliente1,19,221
Cliente1,7,218
Cliente1,5,207
Cliente1,21,227
Cliente1,12,214
Cliente1,14,207
Cliente1,6,216
Cliente1,7,217
Cliente1,5,217
Cliente1,12,299
Cliente1,14,211
Cliente1,17,270
Cliente1,33,207
Cliente1,14,213
Cliente1,17,213
Cliente1,5,233
Cliente1,5,228
Cliente1,14,237
Cliente1,13,203
Cliente1,12,208
Cliente1,11,208
Cliente1,9,272
Cliente1,9,229
Cliente1,13,205
Cliente1,17,209
Cliente3,14,210
Cliente2,14,202
Cliente3,17,219
Cliente3,12,200
Cliente3,14,210
Cliente3,11,207
Cliente3,11,205
Cliente3,10,266
Cliente4,12,288
Cliente3,13,207
Cliente4,12,215
Cliente4,11,269
Cliente4,11,224
Cliente4,13,215
Cliente4,12,209
Cliente4,12,211
Cliente5,13,218
Cliente5,6,221
Cliente5,6,227
Cliente7,6,227
Cliente7,12,218
Cliente7,13,237
Cliente5,14,216
Cliente7,12,210
Cliente7,6,204
Cliente7,13,309
Cliente7,12,287
Cliente7,14,301
Cliente7,16,241
Cliente7,13,201
Cliente7,13,222
Cliente7,11,255
Cliente7,8,228
Cliente7,8,277
Cliente7,8,214
Cliente7,11,273
Cliente7,13,204
Cliente7,42,230
Cliente7,6,257
Cliente7,11,301
Cliente7,14,218
Cliente7,13,227
Cliente7,12,264
Cliente7,15,219
Cliente7,5,308
Cliente7,13,207
Cliente7,12,269
Cliente7,13,312
Cliente8,13,211
Cliente7,15,213
Cliente8,11,207
Cliente8,57,213
Cliente9,11,272
Cliente9,11,278
Cliente9,12,209
Cliente9,15,283
Cliente9,12,216
Cliente9,13,214
Cliente9,5,208
Cliente9,15,222
Cliente9,14,270
Cliente9,13,208
Cliente9,12,274
Cliente9,14,281
Cliente9,12,204
Cliente9,12,230
Cliente9,6,276
Cliente9,5,216
Cliente9,6,304
Cliente9,13,214
Cliente9,15,213
Cliente9,11,207
Cliente9,5,202
Cliente9,14,205
Cliente9,14,220
Cliente9,13,303
Cliente9,12,217
Cliente9,6,209
Cliente9,6,236
Cliente9,13,272
Cliente10,13,268
Cliente9,17,292
Cliente9,12,292
Cliente10,12,237
